weekNum,teamName,numRush,succRush,numPass,succPass,succPct,numPlays,PointsPerPlay,defSucc,defPointsPerPlay
13,Florida,49,25,26,13,50.66666666666667,75,0.48135999999999995,63.793103448275865,0.32862068965517244
13,LSU,51,25,39,21,51.11111111111111,90,0.4422222222222223,52.38095238095239,0.4442190476190476
13,Texas A&M,56,29,49,21,47.61904761904761,105,0.4442190476190476,48.88888888888889,0.4422222222222223
13,Alabama,23,10,31,18,51.85185185185185,54,0.5828518518518518,67.9245283018868,0.32792452830188684
13,Arkansas,20,4,13,4,24.242424242424242,33,0.06493939393939392,47.5,0.45365
13,Auburn,26,10,27,7,32.075471698113205,53,0.32792452830188684,48.14814814814815,0.5828518518518518
13,Georgia,23,16,15,11,71.05263157894737,38,0.7331315789473682,72.0,0.061760000000000016
13,Kentucky,37,25,22,14,66.10169491525424,59,0.597084745762712,64.28571428571428,0.46121428571428563
13,Mississippi State,37,22,13,3,50.0,50,0.4178,68.08510638297872,0.1900212765957447
13,Missouri,24,12,16,9,52.5,40,0.45365,75.75757575757575,0.06493939393939392
13,Ole Miss,24,7,23,8,31.914893617021278,47,0.1900212765957447,50.0,0.4178
13,South Carolina,22,11,46,22,48.529411764705884,68,0.5532500000000002,28.888888888888886,0.5616444444444444
13,Tennessee,14,3,27,8,26.82926829268293,41,0.32790243902439026,45.205479452054796,0.4107260273972604
13,Vanderbilt,39,17,34,23,54.794520547945204,73,0.4107260273972604,73.17073170731707,0.32790243902439026
